ID,createdAt,createdBy,modifiedAt,modifiedBy,plantCode,name,company_ID,country_code,city,postalCode,street,purchasingOrganization,active
87cb6569-bd40-5e24-8586-da21fbea3a81,2025-01-23T08:00:00Z,system,2025-01-23T08:00:00Z,system,1001,Frankfurt Procurement Hub,8e523170-947e-5246-9404-a79ec5162ee5,DE,Frankfurt,68470,Technologystrasse 87,P001,True
329ee744-d62e-5fc4-a06d-cd6019444aa8,2025-01-24T08:00:00Z,system,2025-01-24T08:00:00Z,system,1002,Mainz Operations Plant,8e523170-947e-5246-9404-a79ec5162ee5,DE,Mainz,16409,Industrialstrasse 17,P001,True
e6d386f5-8b03-578e-aca0-68c8e68a10d1,2025-01-25T08:00:00Z,system,2025-01-25T08:00:00Z,system,1003,Hamburg Distribution Center,8e523170-947e-5246-9404-a79ec5162ee5,DE,Hamburg,28737,Commercestrasse 58,P001,True
cb89079f-b137-594d-b7f6-f3803900b013,2025-01-26T08:00:00Z,system,2025-01-26T08:00:00Z,system,1004,Munich Assembly Plant,8e523170-947e-5246-9404-a79ec5162ee5,DE,Munich,95643,Industrialstrasse 12,P001,True
34b80a58-c167-5ea6-9b2c-d151aa2ea5a3,2025-01-27T08:00:00Z,system,2025-01-27T08:00:00Z,system,1005,Düsseldorf Service Plant,8e523170-947e-5246-9404-a79ec5162ee5,DE,Düsseldorf,26791,Harborstrasse 98,P001,True
78e17b4f-64d9-5a1f-8e02-e8a798b67ff0,2025-01-28T08:00:00Z,system,2025-01-28T08:00:00Z,system,1006,Cologne Packaging Center,8e523170-947e-5246-9404-a79ec5162ee5,DE,Cologne,64494,Technologystrasse 10,P001,True
9f6bd345-59f3-56b7-b1b4-8a3e5fab6656,2025-01-29T08:00:00Z,system,2025-01-29T08:00:00Z,system,1007,Berlin Technology Plant,8e523170-947e-5246-9404-a79ec5162ee5,DE,Berlin,46923,Technologystrasse 87,P001,True
113d871c-fdd0-59b0-922b-71a1f17a7a5b,2025-01-30T08:00:00Z,system,2025-01-30T08:00:00Z,system,1008,Stuttgart Components Plant,8e523170-947e-5246-9404-a79ec5162ee5,DE,Stuttgart,44867,Europastrasse 67,P001,True
283bb6f3-df62-5cb4-9d4b-a62afcbbb11d,2025-01-31T08:00:00Z,system,2025-01-31T08:00:00Z,system,1009,Rotterdam Logistics Hub,a5a23b47-f404-5ae9-add7-081d82fadb28,NL,Eindhoven,86110,Logisticsstrasse 32,P002,True
e294ac9d-bd77-5078-ba31-f74bebb60488,2025-02-01T08:00:00Z,system,2025-02-01T08:00:00Z,system,1010,Antwerp Distribution Center,a5a23b47-f404-5ae9-add7-081d82fadb28,BE,Antwerp,21013,Commercestrasse 7,P002,True
521489a3-799d-50a5-9448-eeaa409714d1,2025-02-02T08:00:00Z,system,2025-02-02T08:00:00Z,system,1011,Paris Operations Plant,a5a23b47-f404-5ae9-add7-081d82fadb28,FR,Lyon,61100,Commercestrasse 25,P002,True
5528724a-ec45-5c0d-ac18-8666390c638c,2025-02-03T08:00:00Z,system,2025-02-03T08:00:00Z,system,1012,Lyon Assembly Plant,a5a23b47-f404-5ae9-add7-081d82fadb28,FR,Marseille,41111,Europastrasse 48,P002,True
51ca2c43-9865-5eed-88e1-7efd0be651e9,2025-02-04T08:00:00Z,system,2025-02-04T08:00:00Z,system,1013,Milan Manufacturing Plant,a5a23b47-f404-5ae9-add7-081d82fadb28,IT,Milan,60561,Commercestrasse 60,P002,True
3cab26fd-f62f-5970-ad42-c321a067cf36,2025-02-05T08:00:00Z,system,2025-02-05T08:00:00Z,system,1014,Barcelona Packaging Plant,a5a23b47-f404-5ae9-add7-081d82fadb28,ES,Barcelona,11659,Harborstrasse 48,P002,True
efd8a8e4-0bb8-5f9e-be95-16451417acb0,2025-02-06T08:00:00Z,system,2025-02-06T08:00:00Z,system,1015,Warsaw Components Plant,a5a23b47-f404-5ae9-add7-081d82fadb28,PL,Poznan,29619,Technologystrasse 52,P002,True
d425a94e-8ac6-50ba-81e4-27a328a21379,2025-02-07T08:00:00Z,system,2025-02-07T08:00:00Z,system,1016,Prague Operations Plant,8378f4a1-d15e-560d-9c58-628b5d355769,CZ,Brno,74485,Europastrasse 62,P005,True
89693957-df41-5038-b06b-8fcd13674f65,2025-02-08T08:00:00Z,system,2025-02-08T08:00:00Z,system,1017,Vienna Service Plant,a5a23b47-f404-5ae9-add7-081d82fadb28,AT,Vienna,99798,Logisticsstrasse 4,P002,True
5b8df29c-4f7d-5b45-b24c-0b5a197ae2b0,2025-02-09T08:00:00Z,system,2025-02-09T08:00:00Z,system,1018,Stockholm Distribution Center,a5a23b47-f404-5ae9-add7-081d82fadb28,SE,Gothenburg,51027,Industrialstrasse 2,P002,True
26221d5e-2e66-5ea9-8c4d-30720ed59583,2025-02-10T08:00:00Z,system,2025-02-10T08:00:00Z,system,1019,Copenhagen Logistics Hub,a5a23b47-f404-5ae9-add7-081d82fadb28,DK,Copenhagen,50331,Industrialstrasse 52,P002,True
681d3a1f-6166-5793-8dd0-2f9ae8a7e909,2025-02-11T08:00:00Z,system,2025-02-11T08:00:00Z,system,1020,London Manufacturing Plant,20069725-aaf9-5379-82c1-05a1497180c3,GB,Manchester,81191,Logisticsstrasse 60,P004,True
3e8df789-1fad-5f45-9e4e-ae08a2240191,2025-02-12T08:00:00Z,system,2025-02-12T08:00:00Z,system,1021,Manchester Distribution Center,20069725-aaf9-5379-82c1-05a1497180c3,GB,London,48415,Industrialstrasse 70,P004,True
0450cf2b-52b5-5c7a-95b0-bbdc67bca724,2025-02-13T08:00:00Z,system,2025-02-13T08:00:00Z,system,1022,Chicago Assembly Plant,4d08b670-8842-5172-92ff-70175821c7ff,US,Chicago,54492,Commercestrasse 44,P003,True
03aef187-5272-56c7-bfc4-cf8b61ecf06b,2025-02-14T08:00:00Z,system,2025-02-14T08:00:00Z,system,1023,Atlanta Logistics Hub,4d08b670-8842-5172-92ff-70175821c7ff,US,Atlanta,61468,Technologystrasse 29,P003,True
12473360-94f1-5fba-a391-36ce9d7f31be,2025-02-15T08:00:00Z,system,2025-02-15T08:00:00Z,system,1024,Houston Components Plant,4d08b670-8842-5172-92ff-70175821c7ff,US,Houston,54028,Harborstrasse 27,P003,True
261d0783-3954-5ee6-baf2-f9e37bbb725b,2025-02-16T08:00:00Z,system,2025-02-16T08:00:00Z,system,1025,Toronto Operations Plant,4d08b670-8842-5172-92ff-70175821c7ff,CA,Toronto,96054,Logisticsstrasse 30,P003,True
